OrtoID	Score	OrtoA	OrtoB
1	15256	ENSTGUP00000011593 1.000 	ENSGALP00000021957 1.000 
2	10127	ENSTGUP00000000714 1.000 	ENSGALP00000023576 1.000 
3	10081	ENSTGUP00000013205 1.000 	ENSGALP00000026217 1.000 
4	9778	ENSTGUP00000002044 1.000 	ENSGALP00000019326 1.000 
5	9726	ENSTGUP00000017163 1.000 	ENSGALP00000006213 1.000 
6	9612	ENSTGUP00000010913 1.000 	ENSGALP00000017561 1.000 
7	9596	ENSTGUP00000002977 1.000 	ENSGALP00000015700 1.000 ENSGALP00000015712 0.974 
8	9592	ENSTGUP00000010823 1.000 	ENSGALP00000026967 1.000 ENSGALP00000035807 0.871 
9	9580	ENSTGUP00000008033 1.000 	ENSGALP00000020249 1.000 ENSGALP00000017630 1.000 
10	9406	ENSTGUP00000003312 1.000 	ENSGALP00000005334 1.000 
11	9363	ENSTGUP00000012223 1.000 	ENSGALP00000020245 1.000 
12	9353	ENSTGUP00000012081 1.000 	ENSGALP00000005342 1.000 ENSGALP00000015783 0.835 ENSGALP00000037134 0.828 
13	9313	ENSTGUP00000012764 1.000 	ENSGALP00000025327 1.000 
14	9304	ENSTGUP00000009149 1.000 	ENSGALP00000017138 1.000 
15	9135	ENSTGUP00000002105 1.000 	ENSGALP00000019273 1.000 
16	9128	ENSTGUP00000012432 1.000 	ENSGALP00000020383 1.000 
17	8989	ENSTGUP00000013186 1.000 	ENSGALP00000018464 1.000 ENSGALP00000036720 0.795 
18	8984	ENSTGUP00000003792 1.000 	ENSGALP00000008240 1.000 
19	8793	ENSTGUP00000011769 1.000 	ENSGALP00000027606 1.000 
20	8741	ENSTGUP00000013256 1.000 	ENSGALP00000027793 1.000 
21	8645	ENSTGUP00000000641 1.000 	ENSGALP00000010110 1.000 
22	8615	ENSTGUP00000012936 1.000 	ENSGALP00000027295 1.000 
23	8088	ENSTGUP00000000797 1.000 	ENSGALP00000006868 1.000 
24	7834	ENSTGUP00000007744 1.000 ENSTGUP00000007747 0.485 	ENSGALP00000021192 1.000 ENSGALP00000021191 0.925 
25	7715	ENSTGUP00000009559 1.000 	ENSGALP00000014775 1.000 
26	7652	ENSTGUP00000013096 1.000 	ENSGALP00000027700 1.000 
